cladeID	nkmers	card	gsize	csize
N9389	147883	4	437716	984
N9875	80027	5	437729	989
N9741	120629	6	437736	990
N9576	139681	7	437746	991
N9390	148573	8	437763	992
N9173	184001	12	437982	992
N8910	260346	17	439332	992
N9174	117315	2	439332	994
N9876	121649	2	439332	996
N9877	143998	2	439332	998
N9742	167320	4	439340	998
N9878	123945	2	439340	1000
N9743	155433	4	439350	1002
N9577	176439	8	439463	1002
N9391	179788	9	439552	1003
N9392	157253	12	440050	1015
N9175	208557	21	440484	1015
N8911	241299	23	441184	1015
N8621	356962	40	451285	1015
N8273	392612	42	459560	1015
N7894	446033	43	463373	1016
N7497	452236	44	463407	1017
N7107	538046	45	463593	1018
N7893	167712	2	463593	1020
N7496	188172	3	463595	1021
N7106	294382	4	463600	1022
N6686	828915	49	464050	1022
N8272	147065	2	464050	1024
N7891	160575	2	464052	1027
N7892	239011	3	464052	1025
N7494	119773	2	464070	1029
N7495	398382	5	464070	1027
N7105	517412	7	464107	1029
N7493	120203	2	464107	1031
N7104	129662	3	464109	1032
N6685	645803	10	464188	1032
N6263	1470450	59	465205	1032
N5829	1545071	60	465327	1033
N7890	111740	2	465327	1035
N7492	185608	3	465329	1036
N7889	171828	2	465329	1038
N7491	264965	3	465331	1039
N7103	449584	6	465371	1039
N7888	179366	2	465387	1041
N7490	263378	3	465389	1042
N7102	375026	4	465395	1043
N6683	441642	5	465409	1044
N6262	907290	12	465645	1045
N7101	188094	2	465645	1047
N6681	196194	2	465647	1050
N6682	280478	3	465647	1048
N6261	476371	5	465664	1050
N5828	1382131	17	466032	1050
N5392	2916756	77	467788	1050
N5827	138392	2	467788	1052
N5391	197054	3	467790	1053
N4995	3111615	80	468417	1053
N4625	3199827	81	468570	1054
N7489	76219	4	468580	1058
N7100	76229	5	468588	1059
N7488	49629	2	468588	1061
N7099	93413	3	468589	1062
N6680	169493	8	468609	1062
N6260	204132	9	468619	1063
N7097	88166	2	468619	1067
N7098	49464	2	468619	1065
N6679	137501	4	468624	1067
N6259	181691	5	468632	1068
N5826	385770	14	468668	1068
N5389	58637	3	468670	1072
N5390	393207	15	468670	1069
N5825	58353	2	468670	1071
N4994	451814	18	468685	1072
N7486	70141	2	468686	1074
N7096	152608	4	468692	1076
N6678	171425	5	468695	1077
